http://www.jamstec.go.jp/frsgc/research/d1/iod/DATA/emi.monthly.txt



Date        Box_A     Box_B     Box_C     EMI(=Box_A-0.5*Box_B-0.5*Box_C)
1870:1:16:0 -0.236928 -0.962961 0.31388 0.087613
1870:2:16:0 -0.893361 -0.675769 0.184265 -0.647609
1870:3:16:0 -0.710367 -0.356447 0.174618 -0.619452
1870:4:16:0 -0.734068 -0.337298 0.00134138 -0.56609
1870:5:16:0 -0.804244 -0.605928 -0.115931 -0.443315
1870:6:16:0 -0.819467 -0.848892 -0.24703 -0.271506
1870:7:16:0 -0.708754 -0.796971 -0.257104 -0.181716
1870:8:16:0 -0.62054 -0.697292 -0.0806108 -0.231589
1870:9:16:0 -0.168589 -0.785401 -0.170352 0.309288
1870:10:16:0 -0.249127 -1.09596 -0.105937 0.35182
1870:11:16:0 -0.325107 -0.930298 -0.0317668 0.155925
1870:12:16:0 -0.433018 -0.792202 -0.137756 0.0319607
1871:1:16:0 -0.308991 -0.306988 -0.0489769 -0.131009
1871:2:16:0 -0.318459 -0.267714 -0.067407 -0.150898
1871:3:16:0 -0.313249 -0.358532 -0.0203215 -0.123822
1871:4:16:0 -0.186657 -0.303296 -0.00738751 -0.0313154
1871:5:16:0 -0.429907 -0.493023 0.0155867 -0.191189
1871:6:16:0 -0.378489 -0.257068 -0.0439657 -0.227972
1871:7:16:0 -0.440044 -0.150666 -0.0226139 -0.353404
1871:8:16:0 -0.209362 -0.156067 -0.0933375 -0.0846601
1871:9:16:0 -0.122302 -0.327753 -0.310848 0.196998
1871:10:16:0 -0.167176 -0.30165 -0.349664 0.158481
1871:11:16:0 -0.210343 -0.246722 -0.0393246 -0.0673198
1871:12:16:0 -0.412753 -0.565446 0.0193418 -0.139701
1872:1:16:0 -0.456551 -0.731092 0.0654507 -0.12373
1872:2:16:0 -0.405355 -0.794795 0.0528434 -0.0343786
1872:3:16:0 -0.260021 -0.696707 0.0780103 0.0493272
1872:4:16:0 -0.528526 -0.672223 -0.0327528 -0.176038
1872:5:16:0 -0.421329 -0.644018 0.0131218 -0.105881
1872:6:16:0 -0.457083 -0.5423 0.0568645 -0.214365
1872:7:16:0 -0.344932 -0.412017 0.169116 -0.223482
1872:8:16:0 -0.689814 -0.608371 0.324319 -0.547789
1872:9:16:0 -0.716425 -0.590213 0.371265 -0.606951
1872:10:16:0 -0.595044 -0.83872 0.141937 -0.246653
1872:11:16:0 -0.482435 -0.640029 0.11305 -0.218945
1872:12:16:0 -0.615529 -0.715077 0.165921 -0.340951
1873:1:16:0 -0.519738 -0.731114 0.266965 -0.287663
1873:2:16:0 -0.701888 -0.968173 0.109719 -0.272661
