 http://polarmet.osu.edu/NAO/Azores_mslp.txt
 MONTHLY PRESSURE ANOMALIES FOR PONTA DELGADA, AZORES

      JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC 
1874    2.5    0.2    2.3    0.0   -2.5    1.8   -0.7    0.7    1.3    1.2   -1.1    5.4
1875   -4.0   -1.9   -3.4   -4.8   -1.6    3.0    0.2   -2.9   -2.7    0.5   -4.2   -4.8
1876    0.9   -3.9    1.7    2.6    2.3    2.9   -1.3   -0.1   -4.0   -5.9  -13.1   -9.5
1877   -0.6    3.9   -0.5   -7.5   -5.3   -2.1    1.3   -6.6   -4.0   -2.3    2.1    5.3
1878    5.9   -2.7    4.1  -10.2   -5.5   -2.3    0.1   -5.0    0.4   -3.6   -4.3  -13.6
1879   -1.3    2.1    4.2    0.0    2.0   -4.3    0.3   -1.7    2.0    1.1   -9.4   -7.1
1880   -7.1   -3.0   -2.3    0.9   -2.0    0.3   -4.1   -1.5   -2.1  -11.7    1.7   -3.8
1881  -20.2   -0.9  -12.3   -5.4    1.2    0.9    0.9   -1.0   -4.1   -0.1   -2.5    4.4
1882    2.2    0.4    9.0   -0.3   -3.2    2.0    0.3    1.6    2.6   -1.0    4.4   -2.0
1883   -2.0    2.5   -4.0    0.0    2.9   -4.2   -2.6    1.0   -0.7    3.6    1.7    1.3
1884    0.6   -2.7    0.1   -6.8   -0.1   -0.1   -3.4   -2.0    1.0    3.7   -2.3    2.3
1885   -3.5   -9.7    5.1    2.4   -3.0    0.7    0.1   -4.4    2.0    3.2   -5.9   -4.2
1886    3.8    0.3   -5.2   -4.5   -1.0   -1.2    0.4    1.1   -2.0    0.8    2.5   -0.8
1887    0.7    1.3   -8.5   -7.8    0.3   -4.1   -1.0   -2.6    0.8   -7.3   -1.4   -8.3
1888   -2.3   -4.6   -3.7    1.8   -2.9   -2.4   -0.9    0.6   -6.1   -5.8    2.5   -0.9
1889    5.8    7.2    0.7    5.3   -3.0    0.5   -2.3    1.2   -0.4    3.3    3.3    6.9
1890    2.6   -2.1    3.8    3.4   -2.4    2.9    1.8    1.1    0.8    1.9    5.2   -2.3
1891    3.1   -1.6   -3.6   -3.4   -0.7   -5.3   -4.6    1.0    1.0   -2.2   -0.4    1.7
1892    2.9   -4.3   -5.3   -1.1   -2.8   -1.7    0.4    0.7    1.1   -4.9    1.2   -3.4
1893   -5.0   -0.1   -5.6   -2.9   -5.1   -6.1    1.0   -4.0    1.6   -0.7   -4.0    3.4
1894    0.7    5.6   -0.1    2.3   -0.2    1.2    1.1    0.5   -4.5   -7.6    0.8    2.2
